,owner,repo,mrr,recall100,recall500,recall1000,recall2000,recall5000,recall10000,commit_count,cve_count,Unnamed: 11
249,kmatheussen,das_watchdog,0.125,1.0,1.0,1.0,1.0,1.0,1.0,11.0,1,0.3185185185
251,01org,opa-fm,0.2,1.0,1.0,1.0,1.0,1.0,1.0,58.0,1,0.4111111111
253,tillkamppeter,ippusbxd,1.0,1.0,1.0,1.0,1.0,1.0,1.0,356.0,1,0.4
254,stedolan,jq,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1661.0,1,1.3
257,SchedMD,slurm,0.3333333333,1.0,1.0,1.0,1.0,1.0,1.0,58266.0,1,0.337037037
258,Quagga,quagga,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3981.0,1,1.3
259,fragglet,lhasa,0.5,1.0,1.0,1.0,1.0,1.0,1.0,463.0,1,1.3
260,kamailio,kamailio,1.0,1.0,1.0,1.0,1.0,1.0,1.0,37649.0,1,1.3
261,jpirko,libndp,1.0,1.0,1.0,1.0,1.0,1.0,1.0,88.0,1,0.5
262,libimobiledevice,libusbmuxd,0.3333333333,1.0,1.0,1.0,1.0,1.0,1.0,225.0,1,1.3
263,pornel,pngquant,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1162.0,1,1.3
264,mjg59,pupnp-code,1.0,1.0,1.0,1.0,1.0,1.0,1.0,845.0,1,0.6333333333
265,BelledonneCommunications,bzrtp,1.0,1.0,1.0,1.0,1.0,1.0,1.0,313.0,1,1.3
266,unrealircd,unrealircd,0.1666666667,1.0,1.0,1.0,1.0,1.0,1.0,10106.0,1,0.3208333333
267,evilnet,nefarious2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,639.0,1,0.8
268,m6w6,ext-http,0.1111111111,1.0,1.0,1.0,1.0,1.0,1.0,2557.0,1,1.3
269,vslavik,winsparkle,0.1111111111,1.0,1.0,1.0,1.0,1.0,1.0,480.0,1,0.3625
271,GNOME,libgsf,0.3333333333,1.0,1.0,1.0,1.0,1.0,1.0,1790.0,1,1.3
272,ImpulseAdventure,JPEGsnoop,0.01666666667,1.0,1.0,1.0,1.0,1.0,1.0,89.0,1,0.3434782609
273,blueness,sthttpd,1.0,1.0,1.0,1.0,1.0,1.0,1.0,51.0,1,1.3
274,GNOME,gnome-session,0.03125,1.0,1.0,1.0,1.0,1.0,1.0,6750.0,1,1.3
275,ioquake,ioq3,0.1428571429,1.0,1.0,1.0,1.0,1.0,1.0,3377.0,1,1.3
276,pbatard,rufus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2216.0,1,0.337037037
278,GNOME,nautilus,0.5,1.0,1.0,1.0,1.0,1.0,1.0,25528.0,1,0.55
279,shadowsocks,shadowsocks-libev,0.1111111111,1.0,1.0,1.0,1.0,1.0,1.0,2070.0,1,0.34
280,kohler,gifsicle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,859.0,1,1.3
281,aawc,unrar,0.1,1.0,1.0,1.0,1.0,1.0,1.0,24.0,1,0.3204081633
282,libofx,libofx,1.0,1.0,1.0,1.0,1.0,1.0,1.0,323.0,1,0.8
283,boothj5,profanity,0.25,1.0,1.0,1.0,1.0,1.0,1.0,6511.0,1,1.3
284,GStreamer,gst-plugins-ugly,0.3333333333,1.0,1.0,1.0,1.0,1.0,1.0,5586.0,1,0.0007733952049
286,iortcw,iortcw,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1090.0,1,1.3
287,01org,tpm2.0-tools,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4218.0,1,1.3
288,derf,feh,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1436.0,1,1.3
289,varnishcache,varnish-cache,0.2,1.0,1.0,1.0,1.0,1.0,1.0,19094.0,1,0.35
290,dinhviethoa,libetpan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,645.0,1,1.3
291,resiprocate,resiprocate,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10856.0,1,1.3
292,elric1,knc,0.3333333333,1.0,1.0,1.0,1.0,1.0,1.0,255.0,1,0.8
293,cisco,thor,1.0,1.0,1.0,1.0,1.0,1.0,1.0,226.0,1,0.204
294,fmtlib,fmt,0.02083333333,1.0,1.0,1.0,1.0,1.0,1.0,7209.0,1,0.6333333333
295,fatcerberus,minisphere,0.5,1.0,1.0,1.0,1.0,1.0,1.0,3480.0,1,0.3588235294
296,transmission,transmission,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16043.0,1,0.3909090909
298,AndreRenaud,PDFGen,0.01851851852,1.0,1.0,1.0,1.0,1.0,1.0,356.0,1,0.3416666667
299,randombit,botan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14212.0,1,0.6333333333
301,GNOME,gimp,1.0,1.0,1.0,1.0,1.0,1.0,1.0,58998.0,1,1.3
302,glennrp,libpng,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4315.0,1,0.3101010101
303,simsong,tcpflow,1.0,1.0,1.0,1.0,1.0,1.0,1.0,689.0,1,0.2037037037
304,swoole,swoole-src,0.03703703704,1.0,1.0,1.0,1.0,1.0,1.0,11103.0,1,1.3
305,xelerance,Openswan,0.09090909091,1.0,1.0,1.0,1.0,1.0,1.0,8153.0,1,0.3285714286
306,shellinabox,shellinabox,0.25,1.0,1.0,1.0,1.0,1.0,1.0,386.0,1,0.55
